item,joke,embedding
28,"
An old Scotsmen is sitting with a younger Scottish gentleman and says the boy. 
""Ah, lad look out that window. You see that stone wall there, I built it with
me own bare hands, placed every stone meself.  But do they call me MacGregor the
wall builder? No! <P>

He Takes a few sips of his beer then says, ""Aye, and look out on that lake and 
eye that beautiful pier. I built it meself, laid every board and hammered each
nail but do they call me MacGregor the pier builder? No! <P>

He continues...""And lad, you see that road? That too I build with me own bare 
hands. Laid every inch of pavement meself, but do they call MacGregor the road
builder? No!""

Again he returns to his beer for a few sips, then says, 
""Agh, but you screw one sheep...""
","[ 7.0836232e-04  1.3711867e-03 -1.4230378e-03 -2.2842003e-04
  1.4915819e-03  2.1878225e-03 -1.0795211e-03 -9.3643414e-04
  3.7957132e-03  4.4181352e-03 -1.1178334e-03  2.8680095e-03
  1.6929473e-03  1.7916996e-03 -3.5342264e-03 -5.1177569e-05
  1.3855054e-03  8.7934738e-04 -2.4614183e-04 -1.9729456e-03
  1.3342740e-03  1.4491045e-03  1.6563876e-03 -1.1892134e-03
  2.4510804e-04 -1.8799277e-03  2.4415676e-03 -1.6675337e-03
 -4.3197680e-05  4.5657777e-03 -7.8818522e-04  6.6005596e-04
 -3.7618219e-03 -2.2608766e-03 -3.6494131e-03 -1.5688001e-04
 -1.3082279e-03 -2.3467713e-03 -2.8749706e-05 -9.7511947e-04
  7.8184542e-04  3.5080437e-03  8.1462588e-04  2.4638320e-03
  1.5546093e-03  9.0384873e-04  1.6955615e-03  8.1326166e-04
  1.0045930e-03  1.6552354e-03 -2.4417541e-03  3.9938595e-03
 -2.7919500e-03  1.5861960e-03 -2.3530030e-03 -5.4772699e-04
 -9.1054098e-04  7.1930699e-04  1.4401940e-03  2.0863598e-03
 -1.1007377e-03  1.8506898e-03  2.9458236e-03  8.8672666e-04
 -8.6931762e-04  1.2070209e-03 -3.0550717e-03  1.8730151e-03
  2.2585075e-03  7.7344448e-04 -3.2783505e-03  6.3641055e-04
 -5.5816310e-04 -2.9630719e-05 -3.6577482e-03 -1.7052786e-03
  3.6020370e-03  1.9684774e-03  1.9772074e-03 -1.5581037e-04
 -1.8653854e-03  1.5828378e-03  1.2451214e-03 -1.3362711e-03
 -7.1328861e-04 -1.7238792e-03  1.0467476e-03  1.5291339e-03
 -1.4797194e-03 -7.1611092e-04  2.9553669e-03  2.8354640e-04
  6.2387707e-03 -3.1266056e-03 -1.2748940e-03 -3.1396379e-03
 -1.0139805e-03  2.8637575e-03 -5.8476062e-04  3.0592788e-04]"
29,"
Q: What's the difference between a Lawyer and a Plumber? <BR><BR>
A: A Plumber works to unclog the system.
","[ 1.2559153e-03  1.7624168e-03 -2.1137584e-03 -6.2154810e-04
  2.3732774e-03  2.7122295e-03 -1.9955339e-03 -2.1089872e-03
  6.0158568e-03  6.3395849e-03 -1.8003918e-03  3.7485319e-03
  2.0207735e-03  2.4640565e-03 -4.9361284e-03 -5.4489181e-04
  2.1743709e-03  1.4189095e-03 -8.1680744e-04 -2.4259866e-03
  1.9219280e-03  2.2613490e-03  2.2408301e-03 -1.5529762e-03
  4.7498124e-04 -2.7022685e-03  3.8152565e-03 -2.8772939e-03
 -7.4175670e-04  6.5746126e-03 -7.6454348e-04  9.5190085e-04
 -5.4981476e-03 -3.4492088e-03 -5.8461190e-03 -7.2191667e-04
 -2.2273797e-03 -3.0311008e-03  3.2731550e-04 -1.1763404e-03
  7.9642588e-05  5.2282605e-03  1.4898973e-03  3.5968581e-03
  2.6256049e-03  1.3104792e-03  2.7167287e-03  1.7635162e-03
  1.7264752e-03  2.6075980e-03 -3.2418338e-03  5.4574246e-03
 -3.3587324e-03  1.8769192e-03 -3.5012625e-03 -1.9234196e-04
 -1.0453431e-03  4.5608549e-04  1.7706433e-03  2.4214417e-03
 -7.4529886e-04  2.9221196e-03  4.7568786e-03  1.5955850e-03
 -1.2641542e-03  2.2049577e-03 -4.2584357e-03  2.5538292e-03
  3.2290975e-03  4.9696368e-04 -3.9227139e-03  1.1072961e-03
 -3.4356929e-04 -3.1323094e-04 -5.0508375e-03 -2.0585470e-03
  5.2217715e-03  2.0888057e-03  3.2289193e-03 -3.0132639e-04
 -2.4179895e-03  1.9589416e-03  1.5598206e-03 -1.6729217e-03
 -1.0635392e-03 -2.5694761e-03  9.7849721e-04  2.1579931e-03
 -1.8135328e-03 -9.9890621e-04  4.3276493e-03  5.6870730e-04
  9.1020744e-03 -3.9631845e-03 -1.4997474e-03 -4.6332181e-03
 -1.2850600e-03  4.3414459e-03 -5.6859484e-04  7.6354243e-04]"
30,"
 President Clinton looks up from his desk in the Oval Office to see
 one of his aides nervously approach him. <BR><BR>
 ""What is it?"" exclaims the President.<BR><BR> 
""It's this Abortion Bill Mr. President, what do you want to do
 about it?"" the aide replies. <BR><BR>
""Just go ahead and pay it."" responds the President. 
","[ 5.76796301e-04  1.90520345e-03 -1.42417371e-03 -2.41225775e-04
  1.56790367e-03  2.30025733e-03 -1.06023240e-03 -1.17370347e-03
  3.66628985e-03  4.36778367e-03 -1.14292081e-03  2.53381021e-03
  1.78161974e-03  1.92301406e-03 -3.61645152e-03 -3.34651966e-04
  1.34301046e-03  1.06173614e-03 -1.53857429e-04 -1.99745945e-03
  1.14259007e-03  1.49711722e-03  1.65302167e-03 -1.42206729e-03
  1.91819898e-04 -2.03119102e-03  2.38118344e-03 -1.81849080e-03
 -1.41668977e-04  4.77869762e-03 -9.47673223e-04  4.56953218e-04
 -3.82817001e-03 -2.65250145e-03 -3.58389644e-03 -1.02799590e-04
 -1.23307772e-03 -2.50489474e-03 -1.44815262e-04 -1.03850034e-03
  4.69617924e-04  3.46442685e-03  8.17524735e-04  2.55099405e-03
  1.65740948e-03  6.94373157e-04  1.78509403e-03  9.60536127e-04
  8.97394551e-04  1.67135790e-03 -2.45668297e-03  4.04930813e-03
 -2.55405135e-03  1.70876342e-03 -2.05419632e-03 -3.40442144e-04
 -9.95163689e-04  8.28067714e-04  1.72456133e-03  2.02788832e-03
 -1.09057303e-03  2.05391482e-03  2.92714103e-03  7.86888995e-04
 -5.97953622e-04  1.34077249e-03 -3.09739006e-03  1.82509248e-03
  2.13403371e-03  1.00858824e-03 -3.13858665e-03  5.11503429e-04
 -6.52519113e-04  5.40002620e-05 -3.36821727e-03 -1.44748588e-03
  3.34097981e-03  1.63790502e-03  2.05032085e-03  8.05786840e-05
 -2.21679313e-03  1.47854420e-03  1.47581880e-03 -1.23069785e-03
 -7.30618776e-04 -1.85015798e-03  1.18471880e-03  1.36875478e-03
 -1.51536614e-03 -6.82476850e-04  3.32505675e-03  2.59560737e-04
  6.09380286e-03 -3.01224343e-03 -1.17661129e-03 -3.29347001e-03
 -1.03753642e-03  2.86541693e-03 -7.09608139e-04  1.21765246e-04]"
31,"
A man arrives at the gates of heaven. St. Peter asks, ""Religion?"" 
The man says, ""Methodist."" St. Peter looks down his list, and says, 
""Go to room 24, but be very quiet as you pass room 8."" 
<P>
Another man arrives at the gates of heaven. ""Religion?""
""Baptist."" ""Go to room 18, but be very quiet as you pass room 8."" 
<P>
A third man arrives at the gates. ""Religion?"" ""Jewish.""
""Go to room 11, but be very quiet as you pass room 8."" 
The man says, ""I can understand there being different rooms for different religions, but why
must I be quiet when I pass room 8?"" St. Peter tells him, ""Well the Catholics are in room 8, 
and they think they're the only ones here.
","[ 5.7824148e-04  1.4583289e-03 -1.4304540e-03 -3.7973872e-04
  1.6657036e-03  2.2628242e-03 -1.1825608e-03 -1.0768420e-03
  4.1571329e-03  4.4932007e-03 -1.2962352e-03  2.9034601e-03
  1.9254782e-03  2.2320943e-03 -3.8267763e-03 -2.2256721e-04
  1.5086847e-03  1.1269172e-03 -3.5373123e-05 -2.0739266e-03
  1.2715235e-03  1.2446737e-03  1.7986624e-03 -1.4348590e-03
  4.8700685e-04 -2.1612747e-03  2.7856028e-03 -1.8556922e-03
 -5.1871240e-05  5.2440753e-03 -9.7055943e-04  3.9259382e-04
 -4.2368630e-03 -2.6861273e-03 -4.0970501e-03  3.0254392e-05
 -1.4518789e-03 -3.0511185e-03 -4.4124277e-04 -1.1490659e-03
  7.1721943e-04  3.7967335e-03  8.6747744e-04  2.7573411e-03
  1.8472497e-03  7.0383248e-04  1.7020276e-03  9.5964823e-04
  1.1734890e-03  1.5330260e-03 -2.7052441e-03  4.4722413e-03
 -2.7315798e-03  1.6355148e-03 -2.1866199e-03 -5.8460439e-04
 -1.1035989e-03  9.5483259e-04  1.6792568e-03  2.2353404e-03
 -1.5524097e-03  1.9640515e-03  3.2722994e-03  8.6449727e-04
 -8.6089596e-04  1.1590987e-03 -3.3241243e-03  2.1642984e-03
  2.4503167e-03  9.5780892e-04 -3.8898846e-03  7.6289359e-04
 -6.5997237e-04  2.4597399e-05 -3.4991154e-03 -1.6838342e-03
  3.7585394e-03  1.9013580e-03  2.0760284e-03 -7.1934555e-05
 -2.0142305e-03  1.6874366e-03  1.4276222e-03 -1.2626285e-03
 -9.3093381e-04 -1.5356708e-03  1.1114778e-03  1.5605886e-03
 -1.5411816e-03 -8.4858097e-04  3.6054449e-03  3.4407093e-04
  6.6889389e-03 -3.3832323e-03 -1.4184318e-03 -3.3956536e-03
 -1.0236955e-03  3.2001550e-03 -1.0991998e-03  2.4651640e-04]"
32,"
What do you call an American in the finals of the world cup?
<P>
""Hey Beer Man!""
","[ 7.4910169e-04  2.2411610e-03 -1.7078507e-03 -5.3626008e-04
  2.3004448e-03  2.6072243e-03 -1.4202631e-03 -1.1028014e-03
  5.2036839e-03  6.0671852e-03 -1.6086363e-03  3.8916590e-03
  2.3206929e-03  2.8938500e-03 -5.3857635e-03 -1.3397700e-04
  1.9826249e-03  1.7044693e-03  2.6348516e-04 -2.9961688e-03
  1.4560525e-03  2.5238653e-03  1.9734104e-03 -2.0617356e-03
  5.7022623e-04 -3.1100749e-03  3.2267447e-03 -2.5727572e-03
 -1.1096216e-04  6.9656582e-03 -1.8301527e-03  6.7835132e-04
 -5.2584410e-03 -3.5987531e-03 -5.3312238e-03 -3.4666210e-04
 -1.6777014e-03 -3.2847810e-03 -2.1545157e-04 -1.6644645e-03
  8.4162579e-04  5.3453357e-03  1.1308450e-03  3.6501891e-03
  2.6848509e-03  1.0542363e-03  2.8987920e-03  1.2672673e-03
  1.5331771e-03  2.3720034e-03 -3.1346628e-03  5.6714341e-03
 -3.8749285e-03  3.0694702e-03 -3.3564519e-03 -6.1481580e-04
 -1.5376988e-03  1.0642452e-03  2.9014493e-03  2.8559167e-03
 -1.5953351e-03  3.0707594e-03  4.3977229e-03  1.0077088e-03
 -1.0192852e-03  1.3839185e-03 -4.3025222e-03  2.7228983e-03
  2.9205421e-03  1.4246907e-03 -4.5742630e-03  9.3085691e-04
 -7.9036586e-04  2.6917885e-04 -4.7352915e-03 -2.2372159e-03
  5.1206299e-03  2.9222115e-03  2.7218012e-03  1.8954047e-04
 -3.4188130e-03  1.9105057e-03  2.2062338e-03 -2.1878146e-03
 -5.5610162e-04 -2.5580816e-03  1.6992964e-03  1.9203365e-03
 -2.4978553e-03 -7.2722434e-04  4.4798777e-03  4.8980053e-04
  8.7107411e-03 -4.2909356e-03 -1.9081781e-03 -4.7429302e-03
 -1.6599677e-03  4.1382289e-03 -4.5434368e-04  5.4283020e-05]"
33,"
Out in the backwoods of some midwestern state, little Johnny arrives
at school an hour late.
<P>
Teacher: ""Why are you so late, John?""<BR>
Johny : ""My big brother got shot in the ass.""<BR>
(the teacher corrects his speech)<BR>
Teacher: ""Rectum.""<BR>
Johnny : ""Wrecked him!? Hell, It damn near killed him!"" 
","[ 3.5616086e-04  8.1816409e-04 -7.2358490e-04 -1.8310739e-04
  1.0355549e-03  1.0769832e-03 -6.7446212e-04 -4.6165872e-04
  2.2017558e-03  2.6843075e-03 -8.1452035e-04  1.5239158e-03
  1.0961929e-03  1.2138747e-03 -2.3143552e-03 -1.7440294e-04
  8.3889283e-04  7.2352123e-04 -1.1422974e-05 -1.3339447e-03
  7.3573150e-04  8.6567417e-04  8.8475138e-04 -1.0900791e-03
  6.0909701e-05 -1.1476472e-03  1.5165653e-03 -1.1763572e-03
 -2.5978525e-05  2.8986228e-03 -6.6272571e-04  4.0454959e-04
 -2.4092821e-03 -1.5309411e-03 -2.2971840e-03 -1.7875520e-04
 -7.6447014e-04 -1.5676256e-03 -1.7339384e-04 -7.9722109e-04
  1.4844345e-04  2.1455479e-03  5.5642228e-04  1.5900125e-03
  1.0490587e-03  3.8179549e-04  1.2590426e-03  6.3539587e-04
  6.0254219e-04  1.1176715e-03 -1.5810446e-03  2.5490117e-03
 -1.6733456e-03  1.2582049e-03 -1.3331138e-03 -9.5535062e-05
 -7.8640762e-04  3.6456552e-04  1.1332291e-03  1.2095290e-03
 -7.3479099e-04  1.1644331e-03  1.7890863e-03  5.6767720e-04
 -4.3566633e-04  5.6043064e-04 -1.6823967e-03  1.1285685e-03
  1.1176368e-03  4.8360755e-04 -1.9680348e-03  5.4107624e-04
 -3.2763500e-04  1.8624653e-04 -1.9778658e-03 -9.1884250e-04
  2.0896995e-03  1.2806327e-03  1.1546408e-03  1.4883881e-04
 -1.3311905e-03  8.5497787e-04  8.9298340e-04 -7.6238590e-04
 -4.0216590e-04 -1.0365245e-03  7.4865145e-04  9.3437638e-04
 -1.0180306e-03 -4.5150667e-04  1.8069576e-03  1.6607443e-04
  3.7958990e-03 -1.8306522e-03 -9.8192692e-04 -2.1084838e-03
 -7.4800476e-04  1.8717898e-03 -1.7123097e-04  4.3184780e-05]"
34,"
An explorer in the deepest Amazon suddenly finds himself surrounded
by a bloodthirsty group of natives. Upon surveying the situation, he
says quietly to himself, ""Oh God, I'm screwed."" 
<P>
The sky darkens and a voice booms out, ""No, you are NOT
screwed. Pick up that stone at your feet and bash in the head of the
chief standing in front of you."" 
<P>
So with the stone he bashes the life out of the chief. Standing above
the lifeless body, breathing heavily looking at 100 angry natives... 
<P>
The voice booms out again, ""Okay ..... NOW you're screwed."" 
","[ 0.00049963  0.00124432 -0.00118775 -0.00043035  0.00147171  0.00178241
 -0.00097069 -0.00100231  0.00356478  0.0039897  -0.00119845  0.00245311
  0.00147376  0.00164063 -0.00346294 -0.00019885  0.00111619  0.0009987
 -0.00013006 -0.0017871   0.00099826  0.0014661   0.00156755 -0.00133754
  0.00027899 -0.00186623  0.00231645 -0.00187069 -0.00011774  0.00439143
 -0.00088219  0.00046577 -0.00359135 -0.00237058 -0.00347777 -0.00018627
 -0.00117286 -0.0021488  -0.00012288 -0.00088834  0.00035861  0.00327464
  0.00083595  0.0022705   0.00157071  0.00060505  0.00191816  0.00077219
  0.00094487  0.00162327 -0.00216638  0.00366726 -0.00254842  0.00156482
 -0.00221914 -0.00031084 -0.00091794  0.00069256  0.00147493  0.00189944
 -0.00109537  0.0020524   0.00282946  0.00089659 -0.00090031  0.00124272
 -0.00285999  0.00167536  0.00193458  0.00072244 -0.00290916  0.00059976
 -0.00043192 -0.00012029 -0.00303363 -0.00140364  0.00322067  0.0017707
  0.0017606  -0.00016016 -0.00178814  0.00132002  0.00122738 -0.00125726
 -0.00059415 -0.00170264  0.00095818  0.00154091 -0.00124386 -0.00077927
  0.00298885  0.00019608  0.00571266 -0.00282003 -0.00124515 -0.00306488
 -0.00100109  0.00281    -0.00060772  0.00015592]"
35,"
A guy walks into a bar, orders a beer and says to the bartender,
""Hey, I got this great Polish Joke..."" 
<P>
The barkeep glares at him and says in a warning tone of voice:
""Before you go telling that joke you better know that I'm Polish, both
bouncers are Polish and so are most of my customers""
<P>
""Okay"" says the customer,""I'll tell it very slowly."" 
","[ 7.27276201e-04  1.26102543e-03 -1.68770202e-03 -4.07076848e-04
  1.73553242e-03  2.12294818e-03 -1.31312106e-03 -1.29613874e-03
  4.52614389e-03  5.01814066e-03 -1.42711774e-03  3.13105900e-03
  1.87511253e-03  2.01547379e-03 -4.25466662e-03 -1.02622624e-04
  1.43948139e-03  9.17208672e-04 -2.63684255e-04 -2.10302812e-03
  1.66699383e-03  1.43411628e-03  1.67080783e-03 -1.58385560e-03
  3.44036205e-04 -2.19636061e-03  2.93402164e-03 -2.09186785e-03
 -3.50742048e-04  5.35407476e-03 -7.62917683e-04  5.72606805e-04
 -4.52564377e-03 -2.66059185e-03 -4.11867071e-03  4.73355612e-05
 -1.54689758e-03 -2.68425397e-03 -1.96066012e-05 -1.19694474e-03
  5.78372157e-04  3.89994844e-03  1.01816258e-03  2.69614020e-03
  1.84982107e-03  9.36820579e-04  1.97898434e-03  1.06264581e-03
  1.40879967e-03  1.87777600e-03 -2.80952174e-03  4.43319650e-03
 -3.13776825e-03  1.82686013e-03 -2.56305886e-03 -3.55213531e-04
 -9.51005204e-04  6.51134935e-04  1.93796994e-03  2.06469744e-03
 -1.19444705e-03  2.21232534e-03  3.31848464e-03  1.15721778e-03
 -1.18779519e-03  1.38718204e-03 -3.50837922e-03  2.04943353e-03
  2.63020466e-03  7.38149742e-04 -3.53480410e-03  9.85561404e-04
 -5.44438837e-04 -2.38419641e-04 -4.16980637e-03 -1.77147822e-03
  4.00163652e-03  2.10673804e-03  2.16234080e-03 -3.63343221e-04
 -1.90244603e-03  1.86237996e-03  1.41527865e-03 -1.49924483e-03
 -9.82586294e-04 -2.09678826e-03  1.07823999e-03  1.86244666e-03
 -1.44484791e-03 -7.33682886e-04  3.46181705e-03  3.74496798e-04
  7.02350028e-03 -3.44535871e-03 -1.42764347e-03 -3.70791415e-03
 -1.09962537e-03  3.24895955e-03 -5.65319089e-04  5.08992642e-04]"
36,"
A Jewish young man was seeing a psychiatrist for an eating and
sleeping disorder. <BR><BR>

""I am so obsessed with my mother... As soon as I go to sleep, I start
dreaming, and everyone in my dream turns into my mother. I wake up in
such a state, all I can do is go downstairs and eat a piece of toast.""
<BR><BR>
The psychiatrist replies:
<BR><BR>
""What, just one piece of toast, for a big boy like you?""
","[ 7.1868720e-04  1.0606587e-03 -9.8467863e-04 -1.7605892e-04
  1.1700846e-03  1.6594620e-03 -1.0749950e-03 -1.1933701e-03
  3.8335170e-03  4.1925581e-03 -1.4054235e-03  2.5714317e-03
  1.1712086e-03  1.5543952e-03 -3.4522016e-03  1.2726012e-04
  1.4158185e-03  1.0824923e-03 -3.8784137e-04 -1.8091880e-03
  1.1631806e-03  1.0118220e-03  1.2183805e-03 -1.1551748e-03
  3.4593407e-04 -1.6385082e-03  2.6768283e-03 -1.6358112e-03
 -7.1194270e-05  4.1368841e-03 -4.1551434e-04  4.1625564e-04
 -3.4932741e-03 -2.0957962e-03 -3.0591735e-03 -5.6920398e-05
 -1.2375402e-03 -2.0492119e-03  1.7113706e-04 -8.0807006e-04
  7.0627005e-04  3.3247327e-03  7.9938286e-04  2.1110708e-03
  1.6719768e-03  5.0217414e-04  1.3478397e-03  1.2358106e-03
  1.3209888e-03  1.4136380e-03 -2.3095075e-03  3.6514217e-03
 -2.3353463e-03  1.4285514e-03 -2.4976970e-03 -1.5336146e-04
 -9.0712542e-04  5.5157143e-04  1.1878625e-03  1.6964613e-03
 -9.4351149e-04  1.7024502e-03  2.7713096e-03  1.3538434e-03
 -8.4855198e-04  1.0974165e-03 -2.7876748e-03  1.5899903e-03
  2.3179578e-03  5.7124702e-04 -2.9344212e-03  7.4012869e-04
 -3.5487919e-04 -2.2488761e-04 -3.4098458e-03 -1.4507037e-03
  3.5511111e-03  1.1495040e-03  1.5808084e-03 -3.9399238e-04
 -1.2760371e-03  1.5155725e-03  9.6541696e-04 -1.2524936e-03
 -7.9519459e-04 -1.6698875e-03  9.9849328e-04  1.2989218e-03
 -1.1986492e-03 -5.5802701e-04  2.3937803e-03  3.1997589e-04
  5.8428887e-03 -2.6893439e-03 -1.0880943e-03 -2.7699708e-03
 -9.7674772e-04  2.5322908e-03  1.1206242e-05  2.4541857e-04]"
37,"
""May I take your order?"" the waiter asked. 
<P>
""Yes, how do you prepare your chickens?"" 
<P>
""Nothing special sir,"" he replied. ""We just tell them straight out
that they're going to die.""
","[ 4.2902227e-04  1.4517148e-03 -1.1585481e-03  1.5189478e-04
  1.3867166e-03  2.0602825e-03 -9.0865075e-04 -1.0454808e-03
  3.6334619e-03  4.0428774e-03 -1.1205584e-03  2.7517362e-03
  1.2964053e-03  2.0182163e-03 -3.4166530e-03 -1.4883252e-04
  1.2488418e-03  1.1847315e-03 -3.4735570e-04 -1.7897781e-03
  9.2208188e-04  1.4222453e-03  1.3883970e-03 -1.3719872e-03
  6.2076602e-04 -1.6141225e-03  2.2983849e-03 -1.5822793e-03
  3.3161492e-04  4.3242248e-03 -7.2478590e-04  3.6428010e-04
 -3.7011665e-03 -2.3085321e-03 -3.1616935e-03 -6.9669368e-05
 -1.3754965e-03 -2.3458013e-03 -1.6703815e-04 -1.1676302e-03
  6.2586565e-04  3.4066893e-03  6.8440993e-04  2.5885839e-03
  1.4723592e-03  7.0404197e-04  1.3935784e-03  8.6738972e-04
  1.1322983e-03  1.4164379e-03 -2.3413510e-03  3.7811860e-03
 -2.6286594e-03  1.8676204e-03 -1.9096815e-03 -4.4957601e-04
 -1.0487267e-03  7.6507393e-04  1.2649285e-03  2.0950695e-03
 -1.2312940e-03  1.7548248e-03  2.6016037e-03  9.1653655e-04
 -6.5534632e-04  8.8802038e-04 -2.8984060e-03  1.7506375e-03
  2.0598110e-03  8.4650371e-04 -3.2562490e-03  6.2558980e-04
 -5.2191771e-04 -1.4702254e-04 -3.1285710e-03 -1.4317750e-03
  3.5132705e-03  1.4996121e-03  1.5902034e-03 -1.2845354e-04
 -2.0345477e-03  1.5113055e-03  1.1965971e-03 -1.0667938e-03
 -7.9476443e-04 -1.7041010e-03  1.2294898e-03  1.3050213e-03
 -1.4751469e-03 -5.9985532e-04  2.8769029e-03  3.5648170e-04
  5.8096927e-03 -2.7637663e-03 -1.3998203e-03 -3.0907569e-03
 -8.7491353e-04  2.7328043e-03 -6.3010224e-04  1.6102270e-04]"
38,"
What is the difference between men and women:
<BR><BR>

A woman wants one man to satisfy her every need.<BR>
A man wants every woman to satisfy his one need.
","[ 5.0970825e-04  2.4638788e-03 -2.1185838e-03 -1.7621162e-04
  2.0936364e-03  3.1342716e-03 -1.2699821e-03 -1.4111336e-03
  4.9599479e-03  5.5427719e-03 -1.5875448e-03  3.4000876e-03
  2.1968004e-03  2.4729380e-03 -4.6087666e-03 -4.3251688e-04
  1.9332246e-03  1.1042801e-03 -1.6219345e-04 -2.4890117e-03
  1.6331410e-03  1.8697972e-03  2.2881732e-03 -1.8080944e-03
  1.4227509e-04 -2.6463871e-03  3.3655164e-03 -2.0960381e-03
 -3.3365467e-04  5.9987572e-03 -6.2982249e-04  6.6024991e-04
 -4.8551341e-03 -2.9957714e-03 -4.6623419e-03 -3.6003644e-04
 -1.8200806e-03 -3.0254147e-03 -2.4505483e-04 -1.2939245e-03
  7.9900224e-04  4.5369854e-03  1.0554510e-03  3.2736724e-03
  2.0311424e-03  8.0675271e-04  2.3866952e-03  1.4744198e-03
  1.3836515e-03  2.2663181e-03 -3.1694337e-03  5.4596937e-03
 -3.2601394e-03  1.9432168e-03 -2.8153560e-03 -3.8289063e-04
 -1.2491929e-03  7.5695902e-04  2.1946707e-03  2.7658329e-03
 -1.1652780e-03  2.5503326e-03  3.7456392e-03  1.1103236e-03
 -9.5591642e-04  1.6112040e-03 -3.8345142e-03  2.3272256e-03
  2.5849687e-03  1.0735710e-03 -4.6584192e-03  9.6744829e-04
 -9.4552641e-04  9.5907817e-05 -4.5995973e-03 -1.9620066e-03
  4.2488333e-03  2.1908572e-03  2.6448341e-03 -5.1240782e-05
 -2.4979492e-03  1.9081638e-03  1.8359327e-03 -1.5506184e-03
 -9.4977539e-04 -2.2211410e-03  1.4468723e-03  2.0710130e-03
 -2.1778787e-03 -8.3296571e-04  4.2583924e-03  4.8149456e-04
  8.0828806e-03 -3.8355784e-03 -1.5571041e-03 -4.1755727e-03
 -1.1436931e-03  3.5366355e-03 -9.9525286e-04  3.3994086e-04]"
39,"
How many Irishmen does it take to change a lightbulb?
<P>
Two, one to hold the lightbulb and the other to drink until the room spins. 
","[ 7.9650013e-04  2.6594293e-03 -2.3003845e-03 -3.0569427e-04
  2.9106203e-03  3.5068092e-03 -1.6697325e-03 -1.9749587e-03
  6.3939993e-03  7.0661856e-03 -2.0828417e-03  3.8159161e-03
  2.6880936e-03  3.1572126e-03 -5.7836012e-03 -2.2453345e-04
  2.2871434e-03  1.5777522e-03 -5.2579684e-04 -2.9748569e-03
  2.1021347e-03  2.2346678e-03  2.4372612e-03 -2.4603098e-03
  3.8729381e-04 -3.2087795e-03  3.8459233e-03 -2.7536014e-03
 -1.3459806e-04  7.4910983e-03 -1.3189720e-03  6.0634996e-04
 -6.0588401e-03 -3.8081249e-03 -5.8747083e-03 -1.7268304e-04
 -2.3793485e-03 -3.3830553e-03 -1.6666256e-04 -1.8016103e-03
  5.9025729e-04  5.6384350e-03  1.2095212e-03  4.1354541e-03
  2.5542772e-03  1.3785384e-03  2.9259867e-03  1.8030613e-03
  1.4374073e-03  2.5060978e-03 -3.9292336e-03  6.5207374e-03
 -4.0970184e-03  2.6419575e-03 -3.4470079e-03 -2.6451159e-04
 -1.6975238e-03  1.2102647e-03  2.2887911e-03  3.3170981e-03
 -1.2848043e-03  3.5741967e-03  4.5384439e-03  1.3235979e-03
 -1.0802632e-03  2.0977275e-03 -5.1729027e-03  2.6958236e-03
  3.4292699e-03  1.1982683e-03 -4.9370364e-03  1.0535452e-03
 -9.3869603e-04 -4.4547654e-05 -5.7990495e-03 -2.6867348e-03
  5.7140063e-03  2.7168735e-03  3.4781492e-03 -2.2535997e-04
 -3.4141121e-03  2.2107994e-03  2.1100556e-03 -1.9177085e-03
 -1.4155299e-03 -2.8869552e-03  1.3871609e-03  2.5680726e-03
 -2.5526595e-03 -9.6182933e-04  5.1621627e-03  5.7108863e-04
  9.9353921e-03 -5.0562895e-03 -1.7430328e-03 -4.8868312e-03
 -1.3436649e-03  4.6562403e-03 -1.3233619e-03  3.6024500e-04]"
